Student_ID,Name,Maths,Science,English,Computer,Attendance,Total,Percentage,Average,Grade,Result,Status
101,Akash,89,78,90,95,91,352,88.0,88.0,B,Pass,Regular
102,Vishal,85,69,71,90,96,315,78.75,78.75,B,Pass,Regular
103,Aman,55,60,70,65,88,250,62.5,62.5,C,Pass,Irregular
104,Rathod,90,95,89,98,94,372,93.0,93.0,A,Pass,Regular
105,Rohit,72,68,75,80,85,295,73.75,73.75,C,Pass,Irregular
106,Sahil,65,70,68,72,82,275,68.75,68.75,C,Pass,Irregular
107,Aditya,92,88,91,96,97,367,91.75,91.75,A,Pass,Regular
108,Raj,48,55,60,58,75,221,55.25,55.25,D,Pass,Irregular
109,Ayush,78,82,80,85,89,325,81.25,81.25,B,Pass,Irregular
110,Shubham,95,91,94,99,98,379,94.75,94.75,A,Pass,Regular
